"","evolution.generation","scenario","pluPriority","buildNonRes","densifyGround","densifyOld","maximumDensity","maxBuiltRatio","winSize","minContig","maxContig","impact"
"1",2329,0,1,0,1,0,1,94.5858116654107,7,0.115099917332903,0.616998050446401,1754906
"2",2329,2,1,0,1,0,0,67.3078047514771,7,0.0964400295332363,0.60934587970393,1763982
"3",2329,2,1,1,1,0,0,51.0425523196159,7,0.0668575423246539,0.6,2004293
"4",2329,2,1,0,1,0,0,97.4278369466609,7,0.0488102230048026,0.613228895535764,1580806
"5",2329,0,1,0,1,0,0,85.1384928270979,4,0,0.6,1569798
"6",2329,2,1,0,1,0,0,68.5395108891071,7,0.115462133966196,0.607322828001453,1746948
"7",2329,2,1,1,1,0,0,58.5958027411488,5,0.118191942977075,0.6007928874286,1952064
"8",2329,2,1,0,1,0,0,69.9949007683148,6,0.154194416989154,0.605245210360391,1712580
"9",2329,2,1,0,1,1,0,91.386416073512,6,0.0301292539922775,0.603454426030328,1634470
"10",2329,2,1,0,1,0,0,100,7,0,0.618342477681101,1689952
"11",2329,2,1,1,1,0,0,95.5192708857534,4,0.0187159881702463,0.613766108552418,1660406
"12",2329,0,1,0,1,1,0,66.7735994113808,6,0.1285665924176,0.6,1848482
"13",2329,2,1,0,1,0,0,63.8894666087239,6,0.132239684132407,0.601607864817265,1836856
"14",2329,1,1,0,1,0,0,89.003056384646,4,0.0255299262277958,0.602082953440949,1679540
"15",2329,2,1,0,1,0,0,59.5932978738883,6,0.00023781535867079,0.603780087510132,1904766
"16",2329,2,1,0,1,0,0,80.839869125053,7,0,0.60579587544593,1838520
"17",2329,2,1,1,1,0,0,57.8312983324803,4,0.0201570429793563,0.604195023677484,1879406
"18",2329,2,1,0,1,1,0,65.162706982318,6,0.0934983800484075,0.6,1813986
"19",2329,2,1,0,1,0,0,53.3336736226968,7,0.00942666596351551,0.600096564260551,1943144
"20",2329,2,1,0,1,1,0,98.0303966508129,7,0.255549427521172,0.610673096220341,1751656
"21",2329,1,1,0,1,0,0,96.6392541309197,4,0.0107689675253398,0.61324621200249,1701240
"22",2329,2,1,0,1,0,0,74.4267017920791,6,0.12079073065478,0.6,1784225
"23",2329,2,1,0,1,0,0,78.238619494179,7,0.152362971480442,0.607775276263964,1742503
"24",2329,2,1,0,1,0,0,81.1003710265774,5,0.0137759314227716,0.609758391531094,1695524
"25",2329,0,1,0,1,1,0,79.4820152675863,7,0.150903816865627,0.61628388583363,1746220
"26",2329,2,1,1,1,1,0,72.218651166241,6,0.113196622824024,0.6,1716594
"27",2329,1,1,1,1,0,0,88.3698839897197,7,0.0263280448700276,0.602076958456948,1685863
"28",2329,2,1,0,1,0,0,55.0632046573335,7,0.00671725397500313,0.600179677590239,1885058
"29",2329,2,1,1,1,0,0,56.9782489445941,4,0.0251056293474492,0.604399467185298,1978077
"30",2329,2,1,0,1,0,0,70.6859635182545,6,0.155671910034594,0.605181547205023,1674784
"31",2329,1,1,0,1,1,0,90.0214006335976,6,0.0264001944984597,0.60336889346063,1754582
"32",2329,2,1,0,1,0,0,77.3298672371741,7,0.16008709669289,0.629185338279154,1755432
"33",2329,2,1,0,1,1,0,61.4627108567369,6,0.0138155994065964,0.603230750647406,1868695
"34",2329,2,1,1,1,0,0,73.4409253927169,6,0.13101231641336,0.600030059122892,1751271
"35",2329,2,1,0,1,0,0,60.2919299843271,6,0.0292829202529239,0.6,1879964
"36",2329,2,1,0,1,0,0,76.2527645432247,7,0.0303838487420167,0.600192550129247,1716959
"37",2329,2,1,0,1,0,0,86.7782055261127,7,0.0036804944844681,0.600000031669837,1751930
"38",2329,1,1,1,1,1,0,84.9732584884256,7,0.16470983331056,0.6,1781273
"39",2329,0,1,0,1,0,0,83.7587924602926,7,0.0162553723114495,0.6,1704933
"40",2329,1,1,0,1,0,0,82.7360331902251,7,0.00544781552302666,0.6,1686388
"41",2329,0,1,1,1,0,0,71.93816624975,5,0.140628996650023,0.648668101939154,1749992
"42",2329,2,1,0,1,1,0,50,7,0,0.600218996379656,1959094
"43",2329,2,1,0,1,0,0,64.0103687472831,6,0.130892938128117,0.601645723041532,1830117
"44",2329,2,1,0,1,0,0,62.9559380878323,6,0.0291250913668813,0.6,1769945
"45",2329,2,1,1,1,0,0,54.9712046756965,4,0.00852564203207825,0.600659473994109,1919667
"46",2329,2,1,0,1,0,0,87.3579018947528,4,0.0117679058987815,0.6,1796751
"47",2329,1,1,0,1,0,0,92.7104602487129,4,0.139784542654896,0.614314055144204,1729700
"48",2329,1,1,1,1,1,0,93.7379016636412,7,0.255377281777317,0.611252137641592,1651348
"49",2329,2,1,0,1,1,1,52.7205365482027,4,0.0564409196064854,0.6,2014058
"50",2329,1,1,0,1,1,0,75.5851313822417,7,0.182388296472333,0.617223227444882,1693384
