"","CODE_IRIS","NB_NIV","n","poidsFitAIC","poidsFitCHI2"
"79",340880101,1,539,0.577010397001552,0.236968389868648
"80",340880101,2,435,0.292749447984575,0.145535576918221
"81",340880101,3,77,0.0990187117836204,0.0893815591212817
"82",340880101,4,10,0.0251188482611698,0.0548942277903661
"83",340880101,5,1,0.0050976751896871,0.0337136236414466
"84",340880101,6,0,0.000862111327364029,0.0207054268688807
"85",340880101,7,1,0.00012497057072038,0.0127163637579296
"86",343270104,1,38,0.95,0.95
"87",343270104,2,2,0.05,0.05
"88",340900103,1,385,0.543571493205893,0.234610565447022
"89",340900103,2,504,0.303417826004604,0.146409699290121
"90",340900103,3,48,0.112910479778096,0.0913675818707495
"91",340900103,4,5,0.0315129221598363,0.0570183195333658
"92",340900103,5,2,0.00703611756856285,0.0355825194871422
"93",340900101,1,258,0.501050442169691,0.23126001212015
"94",340900101,2,492,0.313894203895693,0.147288131596449
"95",340900101,3,59,0.13109734130114,0.093806938390637
"96",340900102,1,442,0.597036546561244,0.23827007181335
"97",340900102,2,440,0.285374270617492,0.14494082671238
"98",340900102,3,33,0.0909363363650322,0.0881681995904405
"99",341200102,1,314,0.494695287213235,0.230723653296079
"100",341200102,2,393,0.315152446555103,0.147395333408961
"101",341200102,3,82,0.133848137950632,0.0941619292186712
"102",341200102,4,15,0.0426348999397321,0.0601543394157622
"103",341200102,5,5,0.0108644601005442,0.0384289551050235
"104",341200101,1,535,0.610745605498594,0.239115103560314
"105",341200101,2,414,0.27991010119436,0.144504599607967
"106",341200101,3,52,0.0855235131673461,0.0873285668573073
"107",341200101,4,4,0.0195980904403119,0.0527753345571066
"108",340770102,1,538,0.604193259620762,0.238715801976425
"109",340770102,2,496,0.282563456777504,0.144715989759918
"110",340770102,3,39,0.0880977577231577,0.0877307556466701
"111",340770102,4,2,0.0206003679784738,0.0531847620923193
"112",340900104,1,59,0.577422543541172,0.236996000120216
"113",340900104,2,69,0.292605013396467,0.145523858318688
"114",340900104,3,3,0.0988504228228628,0.0893567542457072
"115",340900104,4,1,0.0250458954346903,0.0548681819021171
"116",342270000,1,295,0.556068129898482,0.235519020102365
"117",342270000,2,274,0.299675682786333,0.146101148994699
"118",342270000,3,60,0.107667280350282,0.0906319401647206
"119",342270000,4,2,0.0290119717512032,0.0562223407176596
"120",341290109,1,368,0.670678243965837,0.240285700296229
"121",341290109,2,141,0.220868937036738,0.143825684384098
"122",341290109,3,27,0.0727369461983375,0.086088466617249
"123",341290109,4,15,0.0239538588505989,0.0515292113244316
"124",341290109,5,3,0.0078885268604737,0.0308433838358774
"125",341290109,6,2,0.00259786351821386,0.018461651207074
"126",341290109,7,2,0.000855532975755275,0.0110504271225648
"127",341290103,1,704,0.714410557117614,0.244368779530922
"128",341290103,2,281,0.228151843704574,0.140522179353061
"129",341290103,3,39,0.0485745563408361,0.0808060789436289
"130",341290103,4,1,0.00775630656341839,0.0464668454780959
"131",341722801,1,48,0.297071289233208,0.208452209524128
"132",341722801,2,145,0.308864987046949,0.146715492130301
"133",341722801,3,29,0.214084595585905,0.10326316847481
"134",341722801,4,7,0.111291865352029,0.0726799999688293
"135",341722801,5,15,0.0462840561120679,0.0511545643377929
"136",341722801,6,5,0.0160405093655391,0.0360042577560769
"137",341722801,7,5,0.00476494738273739,0.0253409757926198
"138",341722801,8,0,0.00123852881866113,0.0178358087110894
"139",341722801,9,0,0.000286155172847149,0.0125534263156203
"140",341722801,10,0,5.95031004059562e-05,0.00883551258114408
"141",341722801,11,0,1.12482485470235e-05,0.00621872312855469
"142",341722801,12,0,1.94913379812231e-06,0.00437694100873698
"143",341722801,13,1,3.11771415004708e-07,0.00308063443217096
"144",341721002,1,252,0.543686522398278,0.234616988600182
"145",341721002,2,239,0.303384730045079,0.146407633168877
"146",341721002,3,24,0.112861965651964,0.0913625018290589
"147",341721002,4,5,0.0314892824919019,0.0570127838268968
"148",341721002,5,11,0.00702858509420292,0.0355775887767844
"149",341721002,6,1,0.00130734979536704,0.0222014211236047
"150",341721102,1,136,0.401975949440862,0.221743304389419
"151",341721102,2,246,0.323782528164123,0.148146098565094
"152",341721102,3,49,0.173866331539112,0.0989760055235559
"153",341721102,4,13,0.0700226972119351,0.0661256000953313
"154",341721102,5,14,0.0225606790293674,0.0441783335752726
"155",341721102,6,5,0.00605737209186154,0.0295154245054006
"156",341721102,7,1,0.00139402174445071,0.0197191748360016
"157",341721001,1,283,0.560852521716719,0.230210329571675
"158",341721001,2,199,0.246296970600716,0.147490178657388
"159",341721001,3,31,0.108160693548116,0.0944933828158883
"160",341721001,4,11,0.0474984958210258,0.0605396201785858
"161",341721001,5,17,0.0208588446620524,0.0387862673781977
"162",341721001,6,5,0.009160109033243,0.0248494214647414
"163",341721001,7,3,0.00402263878274857,0.0159204220687514
"164",341721001,8,4,0.00176653167748856,0.0101998285636878
"165",341722802,1,51,0.248952323050812,0.200898719001769
"166",341722802,2,257,0.291628445212063,0.144966122641611
"167",341722802,3,185,0.227746820527953,0.104605827345059
"168",341722802,4,35,0.133393917274276,0.0754823190077064
"169",341722802,5,15,0.0625042742621905,0.0544671422939637
"170",341722802,6,8,0.0244063121522142,0.0393028410980326
"171",341722802,7,9,0.00816860350618535,0.0283604619834882
"172",341722802,8,1,0.00239222224447412,0.0204645715537634
"173",341721103,1,166,0.585715023738925,0.435927800154259
"174",341721103,2,84,0.203375460306836,0.322805650475907
"175",341721103,3,28,0.0941563187526131,0.159358939626087
"176",341721103,4,10,0.0490402769888108,0.0590028510993638
"177",341721103,5,15,0.0272448914627663,0.0174767048326107
"178",341721103,6,5,0.0157668892370194,0.00431384820274518
"179",341721103,7,3,0.0093851540948546,0.000912690177887724
"180",341721103,8,2,0.00570284596481384,0.00016896235251099
"181",341720902,1,509,0.589949463047376,0.23781864010653
"182",341720902,2,442,0.288067272426486,0.145157172659616
"183",341720902,3,26,0.0937738553791699,0.0885994670774963
"184",341720902,4,6,0.0228944854059677,0.0540783856738777
"185",341720902,5,3,0.00447167249237787,0.0330077808993442
"186",341720902,6,2,0.000727826465795875,0.0201469327592262
"187",341720902,7,2,0.000101540409298604,0.0122970671928098
"188",341720902,8,0,1.23953281509169e-05,0.00750575104169295
"189",341720902,9,2,1.34500724964984e-06,0.00458127924460029
"190",341721101,1,182,0.589489440748222,0.233324866852858
"191",341721101,2,143,0.241991639994571,0.146792194088831
"192",341721101,3,17,0.0993401234684262,0.0923517005969266
"193",341721101,4,5,0.0407801696411644,0.0581014314561113
"194",341721101,5,7,0.0167406902457768,0.0365534832106983
"195",341721101,6,3,0.00687223011505462,0.0229969744522407
"196",341721101,7,0,0.00282112302783799,0.0144681378490963
"197",341721101,8,1,0.00115810079187584,0.00910237184700866
"198",341721101,9,1,0.000475412603742879,0.00572659550975946
"199",341720901,1,531,0.632508919687201,0.240381865988227
"200",341720901,2,391,0.270555581443224,0.143765683978372
"201",341720901,3,34,0.0771534022384814,0.0859822424823904
"202",341720901,4,3,0.0165011772587162,0.0514235791025955
"203",341721201,1,161,0.502051980030931,0.222524975449167
"204",341721201,2,126,0.249995789377953,0.148147319441538
"205",341721201,3,37,0.124484908321356,0.0986299547428854
"206",341721201,4,26,0.0619870136146504,0.0656634761212974
"207",341721201,5,10,0.0308663106932109,0.0437158478635844
"208",341721201,6,2,0.0153698182934345,0.0291040844517857
"209",341721201,7,0,0.00765337058650009,0.0193762164792021
"210",341721201,8,4,0.00381098072963724,0.012899830801098
"211",341721201,9,1,0.00189767030846314,0.00858813870476583
"212",341720603,1,89,0.358086124418618,0.216642578093206
"213",341720603,2,163,0.321009033217147,0.147888920531979
"214",341720603,3,73,0.191847328300908,0.100954913889108
"215",341720603,4,14,0.08599149922823,0.0689158768736391
"216",341720603,5,7,0.0308350937383732,0.0470447440575252
"217",341720603,6,5,0.00921411820148581,0.0321146308200661
"218",341720602,1,30,0.27134757519785,0.204549947842615
"219",341720602,2,68,0.300555909201065,0.145883013789345
"220",341720602,3,61,0.221938853368693,0.104042332626929
"221",341720602,4,25,0.122914372484501,0.0742019697651945
"222",341720602,5,2,0.0544580373699986,0.0529201160529323
"223",341720602,6,1,0.0201066656828254,0.0377421070076425
"224",341720702,1,191,0.5950671029026,0.233888378126242
