CODE_IRIS,id_2,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
341200101,319679,5,1,1,1,0,5,1,1,0,1,1,1,1,0
341230101,182284,2,1,1,1,0,2,1,1,0,1,1,1,1,0
342700103,204950,2,1,1,1,0,2,1,1,0,1,1,1,1,0
340900101,335424,5,2,1,2,1,7,1.4,1,0.489897948556636,2,1,1,2,1
342170102,263522,1,1,1,1,0,1,1,1,0,1,1,1,1,0
341721904,303371,1,1,2,2,0,2,2,2,0,2,2,2,2,0
341690000,236218,1,1,1,1,0,1,1,1,0,1,1,1,1,0
341720902,219256,2,1,2,2,0,4,2,2,0,2,2,2,2,0
343270101,378521,4,2,1,2,1,7,1.75,2,0.433012701892219,1,2,1.5,2,0.5
341720701,213753,4,2,1,2,1,5,1.25,1,0.433012701892219,2,1,1,1.5,0.5
340570101,301283,2,1,2,2,0,4,2,2,0,2,2,2,2,0
341720401,206890,1,1,7,7,0,7,7,7,0,7,7,7,7,0
340570103,285534,7,2,1,2,1,12,1.71428571428571,2,0.451753951452626,1,2,1.5,2,0.5
340580101,386677,1,1,2,2,0,2,2,2,0,2,2,2,2,0
340950103,118815,3,1,3,3,0,9,3,3,0,3,3,3,3,0
342700103,202226,4,2,1,2,1,5,1.25,1,0.433012701892219,2,1,1,1.5,0.5
340570104,295111,4,2,1,2,1,7,1.75,2,0.433012701892219,1,2,1.5,2,0.5
342560000,441362,8,2,2,3,1,17,2.125,2,0.330718913883074,3,2,2,2,0
340770102,276592,4,1,2,2,0,8,2,2,0,2,2,2,2,0
340870000,65437,9,2,1,2,1,12,1.33333333333333,1,0.471404520791032,2,1,1,2,1
340880101,74316,4,2,1,2,1,5,1.25,1,0.433012701892219,2,1,1,1.5,0.5
341721701,260992,3,2,1,7,6,9,3,1,2.82842712474619,7,1,1,4,3
341721501,267827,7,3,1,5,4,18,2.57142857142857,1,1.8405855323893,4,1,1,4.5,3.5
340950102,143431,4,1,1,1,0,4,1,1,0,1,1,1,1,0
342950000,146121,4,1,1,1,0,4,1,1,0,1,1,1,1,0
341720203,279387,3,2,3,4,1,11,3.66666666666667,4,0.471404520791032,3,4,3.5,4,0.5
341790000,111158,6,2,2,3,1,13,2.16666666666667,2,0.372677996249965,3,2,2,2,0
342700102,199455,6,2,1,2,1,7,1.16666666666667,1,0.372677996249965,2,1,1,1,0
341721401,231584,1,1,2,2,0,2,2,2,0,2,2,2,2,0
340880102,96945,1,1,1,1,0,1,1,1,0,1,1,1,1,0
341290109,292504,3,2,1,2,1,4,1.33333333333333,1,0.471404520791032,2,1,1,1.5,0.5
340900102,338181,5,2,1,2,1,7,1.4,1,0.489897948556636,2,1,1,2,1
341720109,226691,4,1,1,1,0,4,1,1,0,1,1,1,1,0
341230102,189776,1,1,4,4,0,4,4,4,0,4,4,4,4,0
343370103,194054,1,1,1,1,0,1,1,1,0,1,1,1,1,0
341290101,281590,2,1,1,1,0,2,1,1,0,1,1,1,1,0
341721803,293117,2,2,1,2,1,3,1.5,1.5,0.5,1,1,1,2,1
341722001,259599,19,3,3,5,2,82,4.31578947368421,4,0.566859453382579,3,4,4,5,1
340880102,88001,4,2,1,2,1,6,1.5,1.5,0.5,1,1,1,2,1
341721301,243211,13,2,1,2,1,19,1.46153846153846,1,0.498518515262143,2,1,1,2,1
341200102,304620,1,1,2,2,0,2,2,2,0,2,2,2,2,0
341720803,230172,2,2,1,2,1,3,1.5,1.5,0.5,1,1,1,2,1
341722501,255476,2,2,1,4,3,5,2.5,2.5,1.5,1,1,1,4,3
341690000,250600,5,2,1,2,1,9,1.8,2,0.4,1,2,2,2,0
