"CODE_IRIS","NB_NIV"
"340570104",2
"340570104",2
"340570104",1
"340570104",1
"340570104",1
"340570107",1
"340570104",3
"340570104",1
"340570107",1
"340570104",1
"340570104",1
"340570104",1
"340570104",1
"340570104",2
"340570104",1
"340570104",1
"340570104",1
"340570104",1
"340570104",1
"340570104",1
"340570104",1
"340570104",1
"340570104",2
"340570104",2
"340570104",2
"340570104",2
"340570104",1
"340570104",2
"340570104",1
"340570104",1
"340570104",1
"340570104",1
"340570104",1
"340570104",2
"340570104",2
"340570104",1
"340570103",1
"340570104",2
"340570104",1
"340570107",1
"340570107",1
"340570107",1
"340570104",2
"340570107",2
"340570104",2
"340570107",2
"340570107",2
"340570104",1
"340570107",2
"340570107",1
"340570103",1
"340570107",2
"340570107",1
"340570103",1
"340570107",1
"340570107",1
"340570107",1
"340570107",2
"340570104",2
"340570103",1
"340570107",1
"340570107",1
"340570107",2
"340570103",1
"340570105",2
"340570104",2
"340570105",1
"340570104",1
"340570105",1
"340570104",2
"340570104",2
"340570104",2
"340570101",1
"340570101",1
"340570105",2
"340570105",3
"340570105",3
"340570104",2
"340570105",2
"340570105",2
"340570107",1
"340570107",2
"340570107",2
"340570107",2
"340570107",2
"340570107",1
"340570107",2
"340570107",2
"340570107",2
"340570107",2
"340570107",1
"340570107",3
"340570107",2
"340570107",3
"340570105",1
"340570105",1
"340570105",1
"340570105",1
"340570105",1
"340570105",1
"340570105",1
"340570105",1
"340570104",1
"340570104",1
"340570104",1
"340570104",1
"340570105",1
"340570104",2
"340570104",2
"340570105",1
"340570104",1
"340570104",1
"340570105",1
"340570104",2
"340570104",1
"340570104",3
"340570104",2
"340570104",1
"340570104",2
"340570105",2
"340570104",2
"340570104",1
"340570104",2
"340570104",2
"340570104",1
"340570104",1
"340570105",1
"340570105",1
"340570105",1
"340570105",1
"340570105",2
"340570105",1
"340570105",1
"340570105",1
"340570104",1
"340570105",1
"340570105",2
"340570105",1
"340570105",1
"340570105",1
"340570105",1
"340570105",1
"340570105",1
"340570105",2
"340570105",2
"340570105",2
"340570105",1
"340570105",1
"340570104",1
"340570105",1
"340570105",1
"340570105",1
"340570105",1
"340570105",1
"340570105",1
"340570105",1
"340570105",1
"340570104",2
"340570105",1
"340570105",2
"340570105",1
"340570105",1
"340570105",1
"340570105",1
"340570105",1
"340570104",1
"340570104",2
"340570104",1
"340570105",1
"340570104",2
"340570104",1
"340570104",2
"340570104",2
"340570105",1
"340570105",1
"340570104",1
"340570104",2
"340570105",1
"340570105",1
