"","taux","scenario","densifyGround","maxBuiltRatio","maximumDensity","PopNotPutUp","UnbuiltArea","AvgCellPop","AreaExpansion","BuiltFloorArea","CellesOpenTiUrb","AvgArtifRate","impact","GrndDensifiedCells"
"65",0,"reduction",FALSE,81,FALSE,0,0,NA,0,0,0,NA,0,0
"66",0,"reduction",FALSE,81,TRUE,0,0,NA,0,0,0,NA,0,0
"67",0,"reduction",FALSE,82,FALSE,0,0,NA,0,0,0,NA,0,0
"68",0,"reduction",FALSE,82,TRUE,0,0,NA,0,0,0,NA,0,0
"69",0,"reduction",FALSE,83,FALSE,0,0,NA,0,0,0,NA,0,0
"70",0,"reduction",FALSE,83,TRUE,0,0,NA,0,0,0,NA,0,0
"71",0,"reduction",FALSE,84,FALSE,0,0,NA,0,0,0,NA,0,0
"72",0,"reduction",FALSE,84,TRUE,0,0,NA,0,0,0,NA,0,0
"73",0,"reduction",FALSE,85,FALSE,0,0,NA,0,0,0,NA,0,0
"74",0,"reduction",FALSE,85,TRUE,0,0,NA,0,0,0,NA,0,0
"75",0,"reduction",FALSE,86,FALSE,0,0,NA,0,0,0,NA,0,0
"76",0,"reduction",FALSE,86,TRUE,0,0,NA,0,0,0,NA,0,0
"77",0,"reduction",FALSE,87,FALSE,0,0,NA,0,0,0,NA,0,0
"78",0,"reduction",FALSE,87,TRUE,0,0,NA,0,0,0,NA,0,0
"79",0,"reduction",FALSE,88,FALSE,0,0,NA,0,0,0,NA,0,0
"80",0,"reduction",FALSE,88,TRUE,0,0,NA,0,0,0,NA,0,0
"81",0,"reduction",FALSE,89,FALSE,0,0,NA,0,0,0,NA,0,0
"82",0,"reduction",FALSE,89,TRUE,0,0,NA,0,0,0,NA,0,0
"83",0,"reduction",FALSE,90,FALSE,0,0,NA,0,0,0,NA,0,0
"84",0,"reduction",FALSE,90,TRUE,0,0,NA,0,0,0,NA,0,0
"85",0,"reduction",FALSE,91,FALSE,0,0,NA,0,0,0,NA,0,0
"86",0,"reduction",FALSE,91,TRUE,0,0,NA,0,0,0,NA,0,0
