evolution$generation,taux,scenario,pluPriority,buildNonRes,densifyGround,maxBuiltRatio,densifyOld,maximumDensity,impact
862,-1.0,stable,0.7976545438369523,0.25786387988416654,0.9474005221846156,78.41983523777819,0.8627615104437264,0.9846751917539809,1871592.0
862,-1.0,stable,0.3829598216219109,0.7882041140135869,0.3133163593804162,52.20062795352309,0.19537887140383225,0.2311113060156442,1839264.0
862,-1.0,tendanciel,0.8435722912149399,0.21384179679971613,0.8786118415273347,80.79644954414019,0.964019707020415,0.7403325168696197,1871592.0
862,-1.0,tendanciel,0.31335877539465395,0.6615505857085531,0.22133705478955756,64.79767626388775,0.06759828254584607,0.0,1839264.0
862,-1.0,tendanciel,0.8477789416262214,0.21586933186294988,0.8996063112430056,81.69545463377798,0.8939253842332833,0.743935536961396,1839264.0
862,-1.0,reduction,0.9841042196655779,0.21732740834240916,0.8797127671052428,78.23397817239851,0.8602652238946017,0.7602030143088389,2005728.0
862,-1.0,stable,0.7805184191069605,0.5386732195405255,1.0,72.93089540957075,0.7086873215691849,0.9259621714394651,2005728.0
862,-1.0,tendanciel,0.3142574871348416,0.6564912583440654,0.21812213046918144,65.04602549951586,0.05953048477302014,6.350858744264357E-4,1839264.0
862,-1.0,stable,0.3239437076252436,0.8705650273166087,0.2783456211147812,61.72703195188153,0.040111108503252474,0.0,1839264.0
862,-1.0,stable,0.8066192931542141,0.2569820133338368,0.9511138813028969,75.09186773810052,0.8715435604750228,0.9472742392688805,4709301.0
862,-1.0,tendanciel,0.38636935395356536,0.8488228128460703,0.3167988391025544,55.047590706624945,0.17858919552197378,0.0,1839264.0
862,-1.0,reduction,0.8692115430008467,0.233697320546071,0.9295405945701531,90.90023940778661,0.8557624258496856,0.8477067687257288,1839264.0
862,-1.0,reduction,0.48386237818254785,0.26676813534367144,0.9127866303119893,96.73948807245979,0.9099253916360908,0.17485275948876572,1871592.0
862,-1.0,reduction,0.7910964040560117,0.2471272641763773,0.8226439388689404,100.0,0.8546367739340824,0.8479639517377313,1839264.0
862,-1.0,stable,0.7507190962399508,0.2315054386266619,0.8776375009628109,87.79353193395775,0.8293275330768038,0.8740678084484013,1839264.0
862,-1.0,stable,0.44013247418021645,1.0,0.23129916694650549,58.82172322760931,0.29051522139194597,0.0032893803562333425,1871592.0
862,-1.0,stable,0.31504128130195597,0.7526847173397392,0.26924436513864924,60.50318628192002,0.05435939991503831,0.0116873249344226,1839264.0
862,-1.0,tendanciel,0.6895231555754949,0.10637355552832235,1.0,84.64231727630127,0.7829271082522292,0.9056531313341437,1871592.0
862,-1.0,reduction,0.48232977323951604,0.2865368021374371,0.9217775160070755,95.73804939961283,1.0,0.17418583814394803,1871592.0
862,-1.0,reduction,0.30100828443425043,0.38229198543701304,0.2431005866730617,69.84366930770518,0.1393293784626034,0.0,2005728.0
862,-1.0,tendanciel,0.8356478480545798,0.23584386586372777,0.8693561698742178,88.64832445360688,0.8501009806449907,0.8255310132215726,1839264.0
862,-1.0,reduction,0.30539591558536033,0.3828828109791643,0.2930649498723147,66.98941428253548,0.1564040690631244,0.0,1871592.0
862,-1.0,reduction,0.8219569388333137,0.36620538034531636,0.8374143887894272,93.40876952327896,1.0,0.0,1871592.0
862,-1.0,tendanciel,0.834786917650149,0.2824713015263011,0.933985923313508,86.46522543647029,0.8515997391084184,0.8421818870518204,1839264.0
862,-1.0,tendanciel,0.331198205978896,0.7524936501868277,0.26421984125032627,50.0,0.13333517329852823,0.02174652041322499,1839264.0
862,-1.0,stable,0.7805644817250351,0.453353797372564,1.0,73.5513513223269,0.7061485769867554,0.9018970564350737,1871592.0
862,-1.0,reduction,0.33080799541060407,0.675580490486363,0.2382298998418098,71.26592884279101,0.16837859816928052,0.0,1871592.0
862,-1.0,tendanciel,0.4115820028016352,0.9398584895565918,0.31300339308614766,56.86142944966381,0.26881402819744116,0.0,1839264.0
862,-1.0,stable,0.3734747831288831,0.8419551236183951,0.3108561484270336,54.11032268554444,0.16913442764395736,0.0,1839264.0
862,-1.0,reduction,0.8019069496414482,0.2203440146358442,0.8710013063190936,92.13038323091155,0.8850052734793588,0.8190423782905132,1746260.0
