CODE_IRIS,NB_NIV,effectif,poidsNormalise_a_l_IRIS
341720109,5,31,0.06275303643724696
341720109,6,1,0.0020242914979757085
341720201,1,13,0.22033898305084745
341720201,2,23,0.3898305084745763
341720201,3,11,0.1864406779661017
341720201,4,9,0.15254237288135594
341720201,5,3,0.05084745762711865
341720202,1,212,0.35570469798657717
341720202,2,325,0.5453020134228188
341720202,3,52,0.087248322147651
341720202,4,6,0.010067114093959731
341720202,6,1,0.0016778523489932886
341720203,1,247,0.3411602209944751
341720203,2,385,0.5317679558011049
341720203,3,75,0.10359116022099447
341720203,4,15,0.020718232044198894
341720203,5,2,0.0027624309392265192
341720204,1,148,0.40217391304347827
341720204,2,134,0.3641304347826087
341720204,3,22,0.059782608695652176
341720204,4,26,0.07065217391304347
341720204,5,31,0.08423913043478261
341720204,6,6,0.016304347826086956
341720204,8,1,0.002717391304347826
341720301,1,250,0.4921259842519685
341720301,2,187,0.36811023622047245
341720301,3,53,0.10433070866141732
341720301,4,18,0.03543307086614173
341720401,1,58,0.27358490566037735
341720401,2,71,0.33490566037735847
341720401,3,49,0.23113207547169812
341720401,4,14,0.0660377358490566
341720401,5,9,0.04245283018867924
341720401,6,5,0.02358490566037736
341720401,7,2,0.009433962264150943
341720401,8,2,0.009433962264150943
341720401,10,1,0.0047169811320754715
341720401,11,1,0.0047169811320754715
341720402,1,1,0.07692307692307693
341720402,2,1,0.07692307692307693
341720402,4,3,0.23076923076923078
341720402,5,5,0.38461538461538464
341720402,8,1,0.07692307692307693
341720402,15,2,0.15384615384615385
341720403,1,11,0.3055555555555556
341720403,2,3,0.08333333333333333
341720403,3,7,0.19444444444444445
341720403,4,8,0.2222222222222222
341720403,5,7,0.19444444444444445
341720404,1,2,0.06896551724137931
341720404,2,4,0.13793103448275862
341720404,4,2,0.06896551724137931
341720404,5,1,0.034482758620689655
341720404,6,11,0.3793103448275862
341720404,7,3,0.10344827586206896
341720404,8,1,0.034482758620689655
341720404,9,1,0.034482758620689655
341720404,13,1,0.034482758620689655
341720404,14,1,0.034482758620689655
341720404,16,1,0.034482758620689655
341720404,22,1,0.034482758620689655
341720405,1,5,0.2777777777777778
341720405,4,2,0.1111111111111111
341720405,5,1,0.05555555555555555
341720405,6,2,0.1111111111111111
341720405,8,1,0.05555555555555555
341720405,9,1,0.05555555555555555
341720405,11,3,0.16666666666666666
