"","surface","dBestAD","dBestCVM","dBestKS","dBestAIC","CODE_IRIS"
"26",510,6.78010425702255e-05,6.78010425702255e-05,6.02061933516925e-05,6.02061933516925e-05,"340570104"
"27",530,5.58134743833393e-05,5.58134743833393e-05,4.9262469389236e-05,4.9262469389236e-05,"340570104"
"28",550,4.59453690481697e-05,4.59453690481697e-05,4.03079941651417e-05,4.03079941651417e-05,"340570104"
"29",570,3.78219947834434e-05,3.78219947834434e-05,3.29811804759448e-05,3.29811804759448e-05,"340570104"
"30",590,3.11348742873098e-05,3.11348742873098e-05,2.69861670895927e-05,2.69861670895927e-05,"340570104"
"31",610,2.56300706093622e-05,2.56300706093622e-05,2.20808716873726e-05,2.20808716873726e-05,"340570104"
"32",630,2.10985441398952e-05,2.10985441398952e-05,1.8067215431355e-05,1.8067215431355e-05,"340570104"
"33",650,1.73682145323666e-05,1.73682145323666e-05,1.4783124419389e-05,1.4783124419389e-05,"340570104"
"34",670,1.42974261182273e-05,1.42974261182273e-05,1.20959850414948e-05,1.20959850414948e-05,"340570104"
"35",690,1.17695686695502e-05,1.17695686695502e-05,9.89728896092954e-06,9.89728896092954e-06,"340570104"
"36",710,9.68864923810726e-06,9.68864923810726e-06,8.09825148097506e-06,8.09825148097506e-06,"340570104"
"37",730,7.97564691575599e-06,7.97564691575599e-06,6.62622636441197e-06,6.62622636441197e-06,"340570104"
"38",750,6.56551209167677e-06,6.56551209167677e-06,5.42177233388925e-06,5.42177233388925e-06,"340570104"
"39",770,5.40469625614913e-06,5.40469625614913e-06,4.4362527966754e-06,4.4362527966754e-06,"340570104"
"40",790,4.44911854754841e-06,4.44911854754841e-06,3.62987186920349e-06,3.62987186920349e-06,"340570104"
"41",810,3.6624918241461e-06,3.6624918241461e-06,2.9700673948764e-06,2.9700673948764e-06,"340570104"
"42",830,3.01494469490558e-06,3.01494469490558e-06,2.4301960642053e-06,2.4301960642053e-06,"340570104"
"43",850,2.4818871822215e-06,2.4818871822215e-06,1.98845754162583e-06,1.98845754162583e-06,"340570104"
"44",870,2.04307694123998e-06,2.04307694123998e-06,1.62701415457259e-06,1.62701415457259e-06,"340570104"
"45",890,1.68185057633856e-06,1.68185057633856e-06,1.33127059731692e-06,1.33127059731692e-06,"340570104"
"46",910,1.38449086475109e-06,1.38449086475109e-06,1.08928456356677e-06,1.08928456356677e-06,"340570104"
"47",930,1.13970585826487e-06,1.13970585826487e-06,8.91284508811531e-07,8.91284508811531e-07,"340570104"
"48",950,9.38200082379597e-07,9.38200082379597e-07,7.29275069359521e-07,7.29275069359521e-07,"340570104"
"49",970,7.72321549629621e-07,7.72321549629621e-07,5.96714204646629e-07,5.96714204646629e-07,"340570104"
"50",990,6.35771182741127e-07,6.35771182741127e-07,4.88249025624547e-07,4.88249025624547e-07,"340570104"
"51",1010,5.23363613248775e-07,5.23363613248775e-07,3.9949964181679e-07,3.9949964181679e-07,"340570104"
"52",1030,4.30830272130066e-07,4.30830272130066e-07,3.26882298654032e-07,3.26882298654032e-07,"340570104"
"53",1050,3.54657295014196e-07,3.54657295014196e-07,2.67464663265822e-07,2.67464663265822e-07,"340570104"
"54",1070,2.91952086572073e-07,2.91952086572073e-07,2.18847415080171e-07,2.18847415080171e-07,"340570104"
"55",1090,2.40333476998902e-07,2.40333476998902e-07,1.79067359786786e-07,1.79067359786786e-07,"340570104"
"56",1110,1.97841299387743e-07,1.97841299387743e-07,1.46518154346323e-07,1.46518154346323e-07,"340570104"
"57",1130,1.62861954282005e-07,1.62861954282005e-07,1.19885441872903e-07,1.19885441872903e-07,"340570104"
"58",1150,1.34067134792571e-07,1.34067134792571e-07,9.80937770966533e-08,9.80937770966533e-08,"340570104"
"59",1170,1.10363385424974e-07,1.10363385424974e-07,8.02631992238816e-08,8.02631992238816e-08,"340570104"
"60",1190,9.08505791617489e-08,9.08505791617489e-08,6.56736985803383e-08,6.56736985803383e-08,"340570104"
"61",1210,7.47877360072126e-08,7.47877360072126e-08,5.37361421788159e-08,5.37361421788159e-08,"340570104"
"62",1230,6.15648849868803e-08,6.15648849868803e-08,4.39684841676697e-08,4.39684841676697e-08,"340570104"
"63",1250,5.0679901088091e-08,5.0679901088091e-08,3.59763005235747e-08,3.59763005235747e-08,"340570104"
"64",1270,4.17194375470049e-08,4.17194375470049e-08,2.94368619674696e-08,2.94368619674696e-08,"340570104"
"65",1290,3.43432294039625e-08,3.43432294039625e-08,2.40861019582609e-08,2.40861019582609e-08,"340570104"
"66",1310,2.82711722698637e-08,2.82711722698637e-08,1.97079535238793e-08,1.97079535238793e-08,"340570104"
"67",1330,2.32726856321815e-08,2.32726856321815e-08,1.61256243443815e-08,1.61256243443815e-08,"340570104"
"68",1350,1.91579567824181e-08,1.91579567824181e-08,1.31944577696022e-08,1.31944577696022e-08,"340570104"
"69",1370,1.57707328615944e-08,1.57707328615944e-08,1.07960914948682e-08,1.07960914948682e-08,"340570104"
"70",10,0.00878353262863232,0.00878353262863232,0.00907331406210296,0.00907331406210296,"340570107"
"71",30,0.007230559513235,0.007230559513235,0.00742405110438205,0.00742405110438205,"340570107"
"72",50,0.00595215992071447,0.00595215992071447,0.00607457588519775,0.00607457588519775,"340570107"
"73",70,0.0048997878596962,0.0048997878596962,0.00497039576724432,0.00497039576724432,"340570107"
"74",90,0.00403348051628701,0.00403348051628701,0.00406692327990171,0.00406692327990171,"340570107"
"75",110,0.00332034070476587,0.00332034070476587,0.00332767564981581,0.00332767564981581,"340570107"
